"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","299","Sales CRM","Companies","","","","Get a company",""
"passed","Fri Mar 08 01:21:48 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","443","Contact management","Contacts","","","","Export contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input. File will be available in csv."
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:39 GMT 2024","281","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","144","Contact management","Lists","","","","Update a list",""
"passed","Fri Mar 08 01:21:30 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","279","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","311","Contact management","Contacts","","","","Get a contact's details","Along with the contact details, this endpoint will show the statistics of contact for the recent 90 days by default. To fetch the earlier statistics, please use Get contact campaign stats ``https://developers.sendinblue.com/reference/contacts-7#getcontactstats`` endpoint with the appropriate date ranges."
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:47 GMT 2024","219","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","209","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time","This endpoint will show the aggregated stats for past 90 days by default if `startDate` and `endDate` OR `days` is not passed. The date range can not exceed 90 days"
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","159","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","160","Account","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","234","Sales CRM","Companies","","","","Delete a company",""
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","198","Sales CRM","Files","","","","Delete a file",""
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","163","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","181","Account","Webhooks","","","","Create a webhook",""
"passed","Fri Mar 08 01:21:35 GMT 2024","Fri Mar 08 01:21:36 GMT 2024","465","Sales CRM","Tasks","","","","Get all task types",""
"failed","Fri Mar 08 01:21:43 GMT 2024","Fri Mar 08 01:21:43 GMT 2024","217","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","161","Account","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Fri Mar 08 01:21:48 GMT 2024","Fri Mar 08 01:21:48 GMT 2024","155","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Fri Mar 08 01:21:43 GMT 2024","Fri Mar 08 01:21:43 GMT 2024","198","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Mar 08 01:21:30 GMT 2024","Fri Mar 08 01:21:30 GMT 2024","262","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:02 GMT 2024","181","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","218","Sales CRM","Companies","","","","Update a company",""
"passed","Fri Mar 08 01:22:06 GMT 2024","Fri Mar 08 01:22:07 GMT 2024","697","Account","Senders","","","","Create a new sender",""
